location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
01,Alabama,UCLA-SuEIR,46,215,39.4,57.1,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
05,Arkansas,Google_Harvard-CPF,20,114,17.8,42.3,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
05,Arkansas,UCLA-SuEIR,27,114,17.8,42.3,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
06,California,Google_Harvard-CPF,71,1173,210.8,330,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
09,Connecticut,Google_Harvard-CPF,25,125,16.8,57.3,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
09,Connecticut,IHME-CurveFit,42,125,16.8,57.3,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
09,Connecticut,UCLA-SuEIR,33,125,16.8,57.3,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
12,Florida,Google_Harvard-CPF,118,819,97,431.4,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
12,Florida,IHME-CurveFit,422,819,97,431.4,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
13,Georgia,Google_Harvard-CPF,72,525,76.7,217.9,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
17,Illinois,Google_Harvard-CPF,29,227,46.4,41.2,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
18,Indiana,Google_Harvard-CPF,56,176,24.8,77,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
18,Indiana,IHME-CurveFit,53,176,24.8,77,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
21,Kentucky,Google_Harvard-CPF,68,311,42.5,140.7,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
21,Kentucky,IHME-CurveFit,84,311,42.5,140.7,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
21,Kentucky,JHU_IDD-CovidSP,122,311,42.5,140.7,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
21,Kentucky,MOBS-GLEAM_COVID,521,311,42.5,140.7,mean of next 7 forecasted medians more than 4 times 14day SD above mean of last 7 observations
21,Kentucky,UCLA-SuEIR,116,311,42.5,140.7,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
22,Louisiana,Google_Harvard-CPF,22,137,24.5,38.9,mean of next 7 forecasted medians more than 4 times 14day SD below mean of last 7 observations
