location,location_name,model,mean ahead,past mean,SD,cutoff,reason excluded
US,US,Google_Harvard-CPF,NA,11556,1430,5836,missing forecasts; cannot evaluate less than 4 SD below criterion
11,District of Columbia,MOBS-GLEAM_COVID,NA,29,7.9,-2.6,missing forecasts; cannot evaluate less than 4 SD below criterion
11,District of Columbia,UCLA-SuEIR,NA,29,7.9,-2.6,missing forecasts; cannot evaluate less than 4 SD below criterion
12,Florida,UCLA-SuEIR,NA,931,93,559,missing forecasts; cannot evaluate less than 4 SD below criterion
13,Georgia,UCLA-SuEIR,NA,595,91.3,229.8,missing forecasts; cannot evaluate less than 4 SD below criterion
15,Hawaii,GT-DeepCOVID,NA,7,2.3,-2.1,missing forecasts; cannot evaluate less than 4 SD below criterion
15,Hawaii,UCLA-SuEIR,NA,7,2.3,-2.1,missing forecasts; cannot evaluate less than 4 SD below criterion
18,Indiana,UCLA-SuEIR,NA,190,41.9,22.2,missing forecasts; cannot evaluate less than 4 SD below criterion
19,Iowa,GT-DeepCOVID,NA,53,13.9,-2.2,missing forecasts; cannot evaluate less than 4 SD below criterion
20,Kansas,UCLA-SuEIR,NA,78,20,-1.4,missing forecasts; cannot evaluate less than 4 SD below criterion
27,Minnesota,UCLA-SuEIR,NA,56,14.2,-0.3,missing forecasts; cannot evaluate less than 4 SD below criterion
31,Nebraska,UCLA-SuEIR,NA,29,10.8,-13.7,missing forecasts; cannot evaluate less than 4 SD below criterion
32,Nevada,UCLA-SuEIR,NA,121,17.5,50.8,missing forecasts; cannot evaluate less than 4 SD below criterion
33,New Hampshire,GT-DeepCOVID,NA,23,5.3,1.8,missing forecasts; cannot evaluate less than 4 SD below criterion
36,New York,GT-DeepCOVID,NA,845,103.7,430.1,missing forecasts; cannot evaluate less than 4 SD below criterion
39,Ohio,UCLA-SuEIR,NA,366,71.3,81.3,missing forecasts; cannot evaluate less than 4 SD below criterion
40,Oklahoma,UCLA-SuEIR,NA,252,28.9,136,missing forecasts; cannot evaluate less than 4 SD below criterion
45,South Carolina,GT-DeepCOVID,NA,214,38.3,61,missing forecasts; cannot evaluate less than 4 SD below criterion
45,South Carolina,UCLA-SuEIR,NA,214,38.3,61,missing forecasts; cannot evaluate less than 4 SD below criterion
49,Utah,UCLA-SuEIR,NA,71,10.8,27.2,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,CU-select,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,Google_Harvard-CPF,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,GT-DeepCOVID,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,IHME-CurveFit,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,MOBS-GLEAM_COVID,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
72,Puerto Rico,UCLA-SuEIR,NA,19,5,-1.5,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,Covid19Sim-Simulator,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,CU-select,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,Google_Harvard-CPF,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,GT-DeepCOVID,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,IHME-CurveFit,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,Karlen-pypm,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,MOBS-GLEAM_COVID,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
78,Virgin Islands,UCLA-SuEIR,NA,1,0.7,-2,missing forecasts; cannot evaluate less than 4 SD below criterion
